Site    ,Name                                     ,Lat       ,Lon      ,Start    ,End      , Years ,  %  ,AWS
46040,TIBOORURRA (WAKA)                        ,-29.2333,141.3333,1/1/1951,1/6/1976,23.1,90,  N
65073,TICHBORNE (WOODBINE)                     ,-33.2167,148.05,1/7/1969,1/4/1983,13.8,100,  N
70310,TIDBINBILLA NATURE RESERVE               ,-35.4408,148.9422,1/5/1966,1/8/2012,45.8,99,  N
69028,TILBA TILBA                              ,-36.3,150,1/4/1901,1/4/1962,46.9,77,  N
69039,TILBA TILBA (MOUNTAIN VALLEY)            ,-36.3375,150.0625,1/4/1955,1/10/2000,39.9,88,  N
69034,TILBA TILBA 2                            ,-36.3667,150.0667,1/1/1952,1/3/1955,3.3,100,  N
73122,TILBOROO                                 ,-34.8167,147.75,1/2/1907,1/4/1916,9.2,99,  N
49093,TILL TILL TANK                           ,-33.7,143.9,NA,1/5/1922,27.7,88,  N
48002,TILPA (INNESOWEN)                        ,-31.217,144.6672,1/7/1999,1/11/2015,14.8,90,  N
48179,TILPA (MUNBUNYA)                         ,-30.9,144.55,1/5/1968,1/12/1971,1.9,52,  N
48228,TILPA (ROSEDALE)                         ,-31.0667,144.1167,NA,1/8/1919,24.9,88,  N
48116,TILPA (TARA 1)                           ,-30.8167,144.6,1/8/1903,1/2/1924,19.1,93,  N
48074,TILPA (TONGO ROAD)                       ,-30.937,144.416,NA,1/1/2018,132.8,98,  N
46115,TILPA (TREVALLYN)                        ,-31.3885,144.0422,1/10/1973,1/3/2022,48.3,100,  N
46041,TILPA (WARLOO)                           ,-31.1833,144.1,NA,1/9/1947,55.3,91,  N
49050,TIN TIN                                  ,-34.5,143.6,NA,1/12/1969,74.3,99,  N
46106,TINAPAGEE                                ,-29.4667,144.3833,NA,1/12/1921,37.6,94,  N
50074,TINDA TANK                               ,-32.6,146.9,NA,1/4/1929,39.2,90,  N
56134,TINGHA (BONNIE VIEW)                     ,-29.9175,151.3244,1/8/1958,1/5/1994,35.6,99,  N
56169,TINGHA (CHESTERTON)                      ,-30.0242,151.1462,1/1/1959,1/12/2001,42.8,100,  N
56007,TINGHA (CRYSTAL HILL)                    ,-29.9315,151.2945,1/6/1902,1/10/2021,119,100,  N
56198,TINGHA (DARBYS ROAD)                     ,-29.9453,151.2076,1/1/1987,1/6/2007,20.5,100,  N
56170,TINGHA (MOOKI)                           ,-30.0767,151.2067,1/1/1965,1/6/1999,32.2,93,  N
56033,TINGHA POST OFFICE                       ,-29.9546,151.2111,1/1/1910,1/12/2021,111.9,100,  N
60097,TINONEE                                  ,-31.9333,152.4167,1/3/1909,1/12/1921,12.8,99,  N
60087,TINONEE (CARINYA)                        ,-31.9667,152.3667,1/12/1968,1/9/1980,11.8,100,  N
47087,TINTINALLOGY STATION                     ,-32.0833,142.9833,NA,1/2/1914,31.7,94,  N
74113,TOCUMWAL (ROSEHILL)                      ,-35.778,145.4912,1/8/1999,1/7/2013,12.8,91,  N
74106,TOCUMWAL AIRPORT                         ,-35.817,145.6004,NA,1/3/2022,124.7,100,  N
47047,TOLARNO                                  ,-32.7833,142.3833,NA,1/11/1973,72.3,79,  N
61116,TOMAGO                                   ,-32.8333,151.7333,NA,1/1/1922,33.6,93,  N
69098,TOMAKIN (BEVIAN PARK)                    ,-35.8167,150.2167,1/1/1968,1/10/1973,3.2,54,  N
61320,TOMALLA (OHIO)                           ,-31.7667,151.4333,1/1/1972,1/3/1973,0.8,67,  N
70084,TOMBONG (OLD TOMBONG)                    ,-36.9325,148.9393,1/1/1908,1/2/2022,114.2,100,  N
70008,TOMBONG (SNOWY RIVER @ BURNT HUT CROSSIN ,-36.8414,148.9314,1/9/2001,1/3/2022,7.8,38,  N
70288,TOMBONG THE FOREST                       ,-36.8667,148.9,1/8/1975,1/5/1984,8.8,100,  N
58067,TOMEWIN (BORDER GATE)                    ,-28.2406,153.3778,1/1/1913,1/11/2007,94.8,100,  N
50091,TOMINGLEY                                ,-32.55,148.2333,NA,1/4/1918,26,99,  N
50139,TOMINGLEY (GUNDONGS)                     ,-32.5613,148.3353,1/1/1966,1/2/2022,55,98,  N
